movieId,title,genres,rating,year
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.893707794587238,1995.0
2,Jumanji (1995),Adventure|Children|Fantasy,3.2515271586594023,1995.0
3,Grumpier Old Men (1995),Comedy|Romance,3.142028126058963,1995.0
5,Father of the Bride Part II (1995),Comedy,3.0584343520573674,1995.0
6,Heat (1995),Action|Crime|Thriller,3.854908898649748,1995.0
7,Sabrina (1995),Comedy|Romance,3.3636663369601054,1995.0
8,Tom and Huck (1995),Adventure|Children,3.1145833333333335,1995.0
10,GoldenEye (1995),Action|Adventure|Thriller,3.42145763311516,1995.0
11,"American President, The (1995)",Comedy|Drama|Romance,3.6571705198920315,1995.0
13,Balto (1995),Adventure|Animation|Children,3.333527696793003,1995.0
14,Nixon (1995),Drama,3.4234888364494465,1995.0
16,Casino (1995),Crime|Drama,3.8237068028689416,1995.0
17,Sense and Sensibility (1995),Drama|Romance,3.948806325713417,1995.0
18,Four Rooms (1995),Comedy,3.3843505768515074,1995.0
21,Get Shorty (1995),Comedy|Crime|Thriller,3.5701620505454055,1995.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3200173216412256,1995.0
23,Assassins (1995),Action|Crime|Thriller,3.145691333982473,1995.0
24,Powder (1995),Drama|Sci-Fi,3.18758389261745,1995.0
25,Leaving Las Vegas (1995),Drama|Romance,3.677304434479322,1995.0
26,Othello (1995),Drama,3.606708513142409,1995.0
27,Now and Then (1995),Children|Drama,3.4039315155358274,1995.0
28,Persuasion (1995),Drama|Romance,4.03,1995.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.936724864539434,1995.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.6367924528301887,1995.0
31,Dangerous Minds (1995),Drama,3.244838567977158,1995.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.9057678412037236,1995.0
33,Wings of Courage (1995),Adventure|Romance|IMAX,3.023076923076923,1995.0
34,Babe (1995),Children|Drama,3.6031917599186163,1995.0
35,Carrington (1995),Drama|Romance,3.4792899408284024,1995.0
36,Dead Man Walking (1995),Crime|Drama,3.91868681658758,1995.0
39,Clueless (1995),Comedy|Romance,3.4187380861608845,1995.0
